index,date,hotels_info,hotels_data
0,2024-10-01,Hotel Room Revenue,442741.7
1,2024-10-01,Standard Average Room Rate,275.2
2,2024-10-01,Standard Average Hotel Occupancy Rate,81.8
3,2024-10-01,Gross Lettings (Room-Nights),1595416.0
4,2024-10-01,Available Room-Nights,1950641.0
5,2024-09-01,Hotel Room Revenue,510756.5
6,2024-09-01,Standard Average Room Rate,315.8
7,2024-09-01,Standard Average Hotel Occupancy Rate,83.3
8,2024-09-01,Gross Lettings (Room-Nights),1602254.0
9,2024-09-01,Available Room-Nights,1923455.0
10,2024-08-01,Hotel Room Revenue,489661.8
11,2024-08-01,Standard Average Room Rate,277.9
12,2024-08-01,Standard Average Hotel Occupancy Rate,88.1
13,2024-08-01,Gross Lettings (Room-Nights),1745458.0
14,2024-08-01,Available Room-Nights,1980724.0
15,2024-07-01,Hotel Room Revenue,492146.5
16,2024-07-01,Standard Average Room Rate,274.5
17,2024-07-01,Standard Average Hotel Occupancy Rate,89.8
18,2024-07-01,Gross Lettings (Room-Nights),1776309.0
19,2024-07-01,Available Room-Nights,1978513.0
20,2024-06-01,Hotel Room Revenue,392165.7
21,2024-06-01,Standard Average Room Rate,264.0
22,2024-06-01,Standard Average Hotel Occupancy Rate,77.7
23,2024-06-01,Gross Lettings (Room-Nights),1475600.0
24,2024-06-01,Available Room-Nights,1898387.0
25,2024-05-01,Hotel Room Revenue,435090.8
26,2024-05-01,Standard Average Room Rate,275.4
27,2024-05-01,Standard Average Hotel Occupancy Rate,79.3
28,2024-05-01,Gross Lettings (Room-Nights),1567252.0
29,2024-05-01,Available Room-Nights,1977380.0
30,2024-04-01,Hotel Room Revenue,405035.2
31,2024-04-01,Standard Average Room Rate,272.8
32,2024-04-01,Standard Average Hotel Occupancy Rate,78.4
33,2024-04-01,Gross Lettings (Room-Nights),1472616.0
34,2024-04-01,Available Room-Nights,1879480.0
35,2024-03-01,Hotel Room Revenue,484392.3
36,2024-03-01,Standard Average Room Rate,294.4
37,2024-03-01,Standard Average Hotel Occupancy Rate,83.6
38,2024-03-01,Gross Lettings (Room-Nights),1631557.0
39,2024-03-01,Available Room-Nights,1950931.0
40,2024-02-01,Hotel Room Revenue,445472.1
41,2024-02-01,Standard Average Room Rate,289.5
42,2024-02-01,Standard Average Hotel Occupancy Rate,83.3
43,2024-02-01,Gross Lettings (Room-Nights),1525919.0
44,2024-02-01,Available Room-Nights,1831324.0
45,2024-01-01,Hotel Room Revenue,422714.9
46,2024-01-01,Standard Average Room Rate,273.4
47,2024-01-01,Standard Average Hotel Occupancy Rate,78.4
48,2024-01-01,Gross Lettings (Room-Nights),1534791.0
49,2024-01-01,Available Room-Nights,1958855.0
50,2023-12-01,Hotel Room Revenue,403258.2
51,2023-12-01,Standard Average Room Rate,279.6
52,2023-12-01,Standard Average Hotel Occupancy Rate,74.2
53,2023-12-01,Gross Lettings (Room-Nights),1429134.0
54,2023-12-01,Available Room-Nights,1926510.0
55,2023-11-01,Hotel Room Revenue,400803.1
56,2023-11-01,Standard Average Room Rate,269.9
57,2023-11-01,Standard Average Hotel Occupancy Rate,78.7
58,2023-11-01,Gross Lettings (Room-Nights),1472456.0
59,2023-11-01,Available Room-Nights,1871496.0
60,2023-10-01,Hotel Room Revenue,407017.3
61,2023-10-01,Standard Average Room Rate,270.5
62,2023-10-01,Standard Average Hotel Occupancy Rate,78.0
63,2023-10-01,Gross Lettings (Room-Nights),1491350.0
64,2023-10-01,Available Room-Nights,1912067.0
65,2023-09-01,Hotel Room Revenue,489201.0
66,2023-09-01,Standard Average Room Rate,317.8
67,2023-09-01,Standard Average Hotel Occupancy Rate,82.9
68,2023-09-01,Gross Lettings (Room-Nights),1524943.0
69,2023-09-01,Available Room-Nights,1839073.0
70,2023-08-01,Hotel Room Revenue,454352.5
71,2023-08-01,Standard Average Room Rate,280.0
72,2023-08-01,Standard Average Hotel Occupancy Rate,86.7
73,2023-08-01,Gross Lettings (Room-Nights),1605530.0
74,2023-08-01,Available Room-Nights,1852618.0
75,2023-07-01,Hotel Room Revenue,479743.0
76,2023-07-01,Standard Average Room Rate,285.3
77,2023-07-01,Standard Average Hotel Occupancy Rate,90.7
78,2023-07-01,Gross Lettings (Room-Nights),1661681.0
79,2023-07-01,Available Room-Nights,1832770.0
80,2023-06-01,Hotel Room Revenue,385038.3
81,2023-06-01,Standard Average Room Rate,263.6
82,2023-06-01,Standard Average Hotel Occupancy Rate,81.6
