date,category_value,visitor_arrivals,category
2024-11-01,    Southeast Asia,471019,region
2024-11-01,    Hong Kong SAR,29421,region
2024-11-01,    Taiwan,32573,region
2024-11-01,    Japan,39158,region
2024-11-01,    India,96213,region
2024-11-01,    Pakistan,1546,region
2024-11-01,    Sri Lanka,5026,region
2024-11-01,    Americas,83477,region
2024-11-01,    Canada,13653,region
2024-11-01,    USA,60653,region
2024-11-01,    Europe,172267,region
2024-11-01,    United Kingdom,47420,region
2024-11-01,    France,16065,region
2024-11-01,    Germany,28084,region
2024-11-01,    Italy,6506,region
2024-11-01,    Netherlands,8170,region
2024-11-01,    Switzerland,7578,region
2024-11-01,    Oceania,112112,region
2024-11-01,    Australia,103310,region
2024-11-01,    New Zealand,12834,region
2024-11-01,    Africa,5956,region
2024-10-01,    Southeast Asia,451703,region
2024-10-01,    Hong Kong SAR,30077,region
2024-10-01,    Taiwan,29422,region
2024-10-01,    Japan,53093,region
2024-10-01,    India,101823,region
2024-10-01,    Pakistan,1405,region
2024-10-01,    Sri Lanka,4929,region
2024-10-01,    Americas,80729,region
2024-10-01,    Canada,13842,region
2024-10-01,    USA,59927,region
2024-10-01,    Europe,169203,region
2024-10-01,    United Kingdom,48461,region
2024-10-01,    France,16319,region
2024-10-01,    Germany,28026,region
2024-10-01,    Italy,7861,region
2024-10-01,    Netherlands,7958,region
2024-10-01,    Switzerland,7645,region
2024-10-01,    Oceania,115651,region
2024-10-01,    Australia,103796,region
2024-10-01,    New Zealand,13389,region
2024-10-01,    Africa,5594,region
2024-09-01,    Southeast Asia,447842,region
2024-09-01,    Hong Kong SAR,30195,region
2024-09-01,    Taiwan,32125,region
2024-09-01,    Japan,51176,region
2024-09-01,    India,97016,region
2024-09-01,    Pakistan,1488,region
2024-09-01,    Sri Lanka,4980,region
2024-09-01,    Americas,76873,region
2024-09-01,    Canada,11879,region
2024-09-01,    USA,57537,region
2024-09-01,    Europe,156684,region
2024-09-01,    United Kingdom,43660,region
2024-09-01,    France,15470,region
2024-09-01,    Germany,25119,region
2024-09-01,    Italy,7214,region
2024-09-01,    Netherlands,6902,region
2024-09-01,    Switzerland,7742,region
2024-09-01,    Oceania,111269,region
2024-09-01,    Australia,98624,region
2024-09-01,    New Zealand,12842,region
2024-09-01,    Africa,6019,region
2024-08-01,    Southeast Asia,415023,region
2024-08-01,    Hong Kong SAR,29884,region
2024-08-01,    Taiwan,35402,region
2024-08-01,    Japan,58348,region
2024-08-01,    India,99579,region
2024-08-01,    Pakistan,1290,region
2024-08-01,    Sri Lanka,5068,region
2024-08-01,    Americas,77562,region
2024-08-01,    Canada,11781,region
2024-08-01,    USA,57011,region
2024-08-01,    Europe,172736,region
2024-08-01,    United Kingdom,46776,region
2024-08-01,    France,15753,region
2024-08-01,    Germany,28879,region
2024-08-01,    Italy,11365,region
2024-08-01,    Netherlands,8534,region
2024-08-01,    Switzerland,7578,region
2024-08-01,    Oceania,109100,region
2024-08-01,    Australia,96635,region
2024-08-01,    New Zealand,13110,region
2024-08-01,    Africa,6281,region
2024-07-01,    Southeast Asia,414700,region
2024-07-01,    Hong Kong SAR,21758,region
2024-07-01,    Taiwan,36616,region
2024-07-01,    Japan,56043,region
2024-07-01,    India,89468,region
2024-07-01,    Pakistan,1454,region
2024-07-01,    Sri Lanka,5356,region
2024-07-01,    Americas,74711,region
2024-07-01,    Canada,12227,region
2024-07-01,    USA,55084,region
2024-07-01,    Europe,164051,region
2024-07-01,    United Kingdom,48533,region
2024-07-01,    France,16825,region
2024-07-01,    Germany,24857,region
2024-07-01,    Italy,6963,region
2024-07-01,    Netherlands,8570,region
2024-07-01,    Switzerland,8081,region
2024-07-01,    Oceania,112662,region
2024-07-01,    Australia,96688,region
2024-07-01,    New Zealand,13476,region
2024-07-01,    Africa,5915,region
2024-06-01,    Southeast Asia,424112,region
2024-06-01,    Hong Kong SAR,27183,region
2024-06-01,    Taiwan,34239,region
2024-06-01,    Japan,43276,region
2024-06-01,    India,93055,region
2024-06-01,    Pakistan,1458,region
2024-06-01,    Sri Lanka,5540,region
2024-06-01,    Americas,74119,region
2024-06-01,    Canada,11706,region
2024-06-01,    USA,55257,region
2024-06-01,    Europe,151571,region
2024-06-01,    United Kingdom,45215,region
2024-06-01,    France,15215,region
2024-06-01,    Germany,22463,region
2024-06-01,    Italy,8047,region
2024-06-01,    Netherlands,7433,region
2024-06-01,    Switzerland,7154,region
2024-06-01,    Oceania,107555,region
2024-06-01,    Australia,90570,region
2024-06-01,    New Zealand,12592,region
2024-06-01,    Africa,6198,region
2024-05-01,    Southeast Asia,425184,region
2024-05-01,    Hong Kong SAR,25416,region
2024-05-01,    Taiwan,31805,region
2024-05-01,    Japan,49708,region
2024-05-01,    India,104531,region
