date,region,visitor_arrivals
2024-11-01,Total,1340888
2024-10-01,Total,1366325
2024-09-01,Total,1376504
2024-08-01,Total,1439978
2024-07-01,Total,1358291
2024-06-01,Total,1278721
2024-05-01,Total,1321362
2024-04-01,Total,1302674
2024-03-01,Total,1474451
2024-02-01,Total,1491212
2024-01-01,Total,1449182
2023-12-01,Total,1197683
2023-11-01,Total,1191363
2023-10-01,Total,1167395
2023-09-01,Total,1228667
2023-08-01,Total,1233114
2023-07-01,Total,1203490
2023-06-01,Total,1158993
2023-05-01,Total,1157778
2023-04-01,Total,1094824
2023-03-01,Total,1021705
2023-02-01,Total,1021535
2023-01-01,Total,923612
2022-12-01,Total,902501
2022-11-01,Total,881077
2022-10-01,Total,845005
2022-09-01,Total,851354
2022-08-01,Total,689192
2022-07-01,Total,622438
2022-06-01,Total,563821
2022-05-01,Total,419720
2022-04-01,Total,298397
2022-03-01,Total,121258
2022-02-01,Total,71188
2022-01-01,Total,58459
2021-12-01,Total,90467
2021-11-01,Total,44467
2021-10-01,Total,24963
2021-09-01,Total,21232
2021-08-01,Total,14991
2021-07-01,Total,15684
2021-06-01,Total,10130
2021-05-01,Total,13674
2021-04-01,Total,25912
2021-03-01,Total,27138
2021-02-01,Total,19044
2021-01-01,Total,24366
2020-12-01,Total,23409
2020-11-01,Total,15949
2020-10-01,Total,13905
2020-09-01,Total,10657
2020-08-01,Total,8357
2020-07-01,Total,5965
2020-06-01,Total,2324
2020-05-01,Total,878
2020-04-01,Total,751
2020-03-01,Total,229897
2020-02-01,Total,748343
2020-01-01,Total,1640749
2019-12-01,Total,1653704
2019-11-01,Total,1656396
2019-10-01,Total,1597578
2019-09-01,Total,1624734
2019-08-01,Total,1631119
2019-07-01,Total,1578203
2019-06-01,Total,1560979
2019-05-01,Total,1562971
2019-04-01,Total,1591134
2019-03-01,Total,1521097
2019-02-01,Total,1550462
2019-01-01,Total,1579874
2018-12-01,Total,1529807
2018-11-01,Total,1526860
2018-10-01,Total,1544461
2018-09-01,Total,1579290
2018-08-01,Total,1566544
2018-07-01,Total,1529181
2018-06-01,Total,1568795
2018-05-01,Total,1538617
2018-04-01,Total,1532292
2018-03-01,Total,1543933
2018-02-01,Total,1539082
2018-01-01,Total,1513804
