date,purpose,count
2019-01-01,Total,15231.5
2019-01-01,Personal,12308.3
2019-01-01,Business and professional,2923.2
2018-01-01,Total,16403.4
2018-01-01,Personal,13942.9
2018-01-01,Business and professional,2460.5
2017-01-01,Total,17424.699999999997
2017-01-01,Personal,14960.599999999999
2017-01-01,Business and professional,2464.1
2016-01-01,Total,18508.3
2016-01-01,Personal,15891.0
2016-01-01,Business and professional,2617.3
2015-01-01,Total,19116.0
2015-01-01,Personal,16655.5
2015-01-01,Business and professional,2460.5
